abstract_state;x1;x2
1;2641;11642
2;2624;11466
3;2975;11466
4;2904;11683
5;2976;11062
6;2466;11428
7;2538;11371
8;2419;11288
9;2941;11436
10;3018;11102
11;2366;11350
12;2618;11359
13;2675;11412
14;2936;11444
15;2732;11128
16;2653;11150
17;2366;11385
18;2530;11495
19;2824;10917
20;2326;11349
21;2737;11232
22;2757;11524
23;2384;11368
24;2922;11419
25;2981;11535
26;2599;11660
27;2786;11011
28;2937;11320
29;2736;11047
30;2734;11401
31;2942;11431
32;2414;11134
33;3046;11467
34;2451;11659
35;2487;11488
36;2902;11099
37;2754;10946
38;2560;11355
39;2862;11324
40;2475;11099
41;2933;11236
42;2465;11413
43;2810;11505
44;2894;11035
45;2785;11332
46;3070;11174
47;2336;11187
48;2534;11494
49;2606;11635
50;2730;11653
51;2662;11367
52;2865;11037
53;3094;10954
54;2836;10988
55;2679;11194
56;2343;11658
57;2325;11325
58;2854;11047
59;2970;11272
60;2935;11133
61;2971;10995
62;2987;11291
63;2566;11459
64;2831;10963
65;2877;11455
66;3021;11475
67;2898;10973
68;2409;11205
69;2431;11321
70;2458;10911
71;2625;10953
72;3095;10986
73;2753;11514
74;2431;11250
75;2420;11430
76;2961;11616
77;2997;11110
78;2753;11104
79;2803;11637
80;3065;11307
81;2413;11056
82;2733;11208
83;2359;10928
84;2705;11538
85;3034;11661
86;3080;11205
87;2845;11128
88;2924;11173
89;2934;11470
90;2717;11174
91;2386;10988
92;2782;11473
93;2350;11055
94;2826;11533
95;2833;11553
96;2900;10988
97;2777;11562
98;2610;11617
99;2951;11547
100;2407;11613
101;2354;10996
102;2358;11026
103;2472;11054
104;2879;11122
105;2439;11183
106;2454;11333
107;2571;11373
108;2942;11446
109;3008;11695
110;2416;10956
111;2399;11214
112;2858;11167
113;2469;11236
114;2818;11492
115;2770;11590
116;2970;11132
117;2667;11421
118;2966;11096
119;2673;11236
120;2520;11339
121;2923;10918
122;2595;11652
123;2378;11659
124;2756;11439
125;2972;11122
126;2720;11330
127;2647;11018
128;2432;11462
129;3015;11034
130;2963;11510
131;2511;11660
132;2885;11234
133;2455;11340
134;2728;11432
135;2887;11145
136;2893;11342
137;2364;11087
138;2770;10934
139;2802;10960
140;2537;11179
141;2618;11394
142;2902;11348
143;2882;11308
144;2332;11511
145;2847;11001
146;2684;11655
147;2475;11348
148;2989;11147
149;2588;11463
150;2850;11493
151;2605;11208
152;2359;11442
153;2337;11423
154;3096;11194
155;2942;11643
156;2433;11169
157;2524;11371
158;2553;11253
159;2341;11322
160;2723;10949
161;2565;11372
162;2527;11601
163;3026;11166
164;2459;11593
165;2995;11158
166;2405;11234
167;2374;11127
168;2603;11580
169;3003;11150
170;2346;11659
171;2574;11199
172;2775;11548
173;2418;11183
174;2695;10914
175;2865;11647
176;3019;11096
177;2995;11525
178;2634;10944
179;2632;11137
180;2837;11129
181;2902;11228
182;2738;11322
183;2550;11328
184;2519;11355
185;2538;11484
186;2705;11089
187;3081;11139
188;2672;11572
189;2910;11006
190;2475;11228
191;2890;11400
192;2500;11428
193;2788;11441
194;2716;11241
195;2827;11392
196;2658;11597
197;2490;10919
198;2819;11236
199;2752;11207
200;2931;11117
201;3033;11184
202;2537;11386
203;2772;11495
204;3039;11522
205;2938;11542
206;2465;11672
207;2504;10919
208;3082;11510
209;2863;11627
210;2696;11247
211;2429;11506
212;2357;11673
213;2462;11281
214;2360;11299
215;2513;11445
216;2353;11554
217;2349;11054
218;2718;11193
219;2422;10995
220;2775;11591
221;3047;10959
222;2547;11101
223;2403;11630
224;2919;11662
225;2608;11295
226;2465;11592
227;2739;11604
228;2463;11476
229;3070;10956
230;2553;11431
231;2781;10932
232;2579;11405
233;2535;11541
234;2815;10977
235;2501;10950
236;2502;11111
237;2353;11289
238;3042;11346
239;3088;11628
240;2993;11138
241;2802;11651
242;2822;11304
243;2977;11019
244;2342;11022
245;2795;10986
246;2372;11103
247;3062;11125
248;2903;11135
249;3056;11618
250;3034;11483
251;2721;10911
252;2512;11428
253;3040;11473
254;2588;10998
255;2860;11179
256;2578;11073
257;2666;11227
258;2536;11688
259;2749;11346
260;2374;11350
261;2479;11692
262;2799;11301
263;2377;11181
264;2494;10945
265;2992;11111
266;2612;11137
267;2735;11212
268;2928;11023
269;2835;11171
270;2682;10921
271;2717;10956
272;3015;11243
273;2374;11385
274;2798;11344
275;2906;11388
276;2792;11456
277;2522;11344
278;2964;10932
279;2429;11584
280;2549;11518
281;2505;11587
282;2980;11552
283;2767;11133
284;3066;11629
285;2629;11006
286;2892;11161
287;2814;11447
288;2462;11620
289;2597;11145
290;2853;10980
291;2739;11642
292;2898;11648
293;3068;10933
294;2451;10972
295;2856;11365
296;2373;10932
297;2548;11699
298;3005;11119
299;3095;11340
300;2653;11002
301;2752;11683
302;3020;11008
303;2778;11033
304;2553;11446
305;3033;11489
306;2677;11492
307;2937;11037
308;2860;11386
309;2732;11451
310;2868;11679
311;2882;11099
312;2435;11408
313;2993;11172
314;2997;11280
315;2430;11284
316;2316;11498
317;2476;11205
318;2301;11500
319;2499;11200
320;2962;11275
321;2675;11322
322;2684;11563
323;2868;10979
324;2950;11692
325;2962;11266
326;3034;11075
327;2792;11057
328;2560;11130
329;2474;11008
330;2681;11329
331;2524;11484
332;2726;11346
333;2988;11526
334;2649;10952
335;2381;11374
336;2780;11437
337;2951;11601
338;2453;11611
339;2632;11650
340;2563;11094
341;2411;11096
342;2487;11188
343;2458;11487
344;2398;11201
345;2402;11363
346;2313;11477
347;2833;11636
348;2604;11618
349;2616;11699
350;2637;11292
351;2332;11356
352;2756;11545
353;2699;11328
354;2898;11114
355;3094;11118
356;2553;11643
357;2837;11325
358;2348;11660
359;2526;11342
360;2578;11175
361;2514;11445
362;2498;11516
363;2886;11544
364;2946;11251
365;2338;11013
366;2688;11298
367;2784;11179
368;2845;11451
369;2893;11566
370;2378;10972
371;3072;11494
372;2842;11425
373;2780;11045
374;2480;11097
375;3074;11323
376;2591;10909
377;2402;10940
378;2588;11044
379;2621;11547
380;2556;11559
381;2697;11129
382;2312;11205
383;2330;11278
384;2368;10989
385;2922;11028
386;3005;11185
387;2731;11491
388;3079;11066
389;2432;11134
390;2536;11270
391;2652;11319
392;2789;11320
393;3036;11639
394;2848;11470
395;2331;11352
396;2692;11223
397;2882;11348
398;2706;11632
399;3018;11206
400;2612;11650
401;2983;11214
402;2388;11416
403;2588;11677
404;2569;10914
405;2840;11407
406;2937;11647
407;2774;11653
408;3050;11449
409;2453;11080
410;2624;11258
411;2544;10930
412;2346;10972
413;2732;10969
414;2546;11087
415;2975;11258
416;2784;11386
417;2573;11461
418;2727;11186
419;2985;11378
420;2781;11511
421;2703;11587
422;2440;11438
423;2480;11157
424;2521;11572
425;2978;11214
426;2633;11695
427;3029;10983
428;2988;11607
429;2998;11477
430;2924;11008
431;3059;11499
432;2354;11520
433;2879;11558
434;2499;11646
435;2661;11347
436;2497;11445
437;2305;11679
438;3003;11002
439;2915;11335
440;2891;11452
441;2944;11294
442;2492;11025
443;2882;11228
444;2659;10991
445;2446;11529
446;2771;11534
447;2483;11062
448;2305;10979
449;2397;11367
450;3068;10924
451;3097;11117
452;2973;11297
453;2838;11579
454;2916;11441
455;2594;11283
456;2972;11558
457;2932;11201
458;2828;11235
459;2892;11422
460;2934;11594
461;2598;11590
462;2438;11023
463;2938;10910
464;2519;11130
465;2441;11321
466;2372;11018
467;2642;11117
468;2473;11024
469;2795;11340
470;2441;11250
471;3059;11465
472;2964;11511
473;3041;11517
474;3078;11593
475;2582;11342
476;2985;11479
477;2670;11087
478;2425;11577
479;2371;11692
480;3046;11696
481;2817;10996
482;2390;11264
483;2663;11381
484;2866;10968
485;2935;10992
486;2909;11244
487;2426;11331
488;2503;11490
489;2311;11562
490;3091;11652
491;2651;11444
492;2392;11082
493;2387;11438
494;2373;11511
495;2537;11239
496;2845;10969
497;2592;11536
498;2473;11624
499;2630;11697
500;2725;10963
501;2598;10934
502;2645;11154
503;3099;11572
504;2342;10941
505;2506;11019
506;2341;11101
507;2829;11170
508;3034;11254
509;2805;11329
510;2516;11529
511;2894;11686
512;2440;10958
513;2780;11052
514;2702;10905
515;2652;11410
516;2609;11603
517;2493;11660
518;2963;11056
519;3062;11509
520;2369;11068
521;2844;11605
522;3054;11659
523;2332;11224
524;2989;11661
525;2667;11064
526;2595;11034
527;2721;11487
528;2692;11565
529;2335;11078
530;2566;11125
531;2738;11101
532;2991;11200
533;2955;10978
534;2487;11012
535;2668;11506
536;2911;11500
537;2647;10977
538;2747;11467
539;2671;11534
540;2510;10953
541;2947;10952
542;2529;11360
543;2988;11351
544;3049;10961
545;2678;11184
546;2769;11547
547;2401;11441
548;2925;11231
549;2354;10997
550;2659;11123
551;2622;11139
552;2919;11389
553;3055;11133
554;2481;11699
555;2407;11137
556;2939;11399
557;2613;11498
558;2902;11219
559;2584;10952
560;3009;11491
561;2505;10974
562;2337;11573
563;2315;11151
564;2645;10948
565;2475;11219
566;2387;10958
567;2607;11342
568;2813;11559
569;2751;11530
570;2420;11113
571;2384;10932
572;3026;11634
573;2697;11325
574;2429;11053
575;2896;10953
576;2668;11584
577;2578;11616
578;2696;11304
579;3032;11519
580;2836;11497
581;2886;11017
582;2453;10990
583;3026;10966
584;2876;11149
585;2579;11158
586;2690;11334
587;2757;11220
588;2869;11438
589;2844;11272
590;2495;11530
591;3010;11662
592;3082;11056
593;2966;11190
594;2648;11662
595;2931;11437
596;2579;11525
597;2918;11513
598;2809;11627
599;2790;11680
600;2389;11143
601;2419;10975
602;3033;11361
603;2533;11490
604;2860;11239
605;2934;11285
606;2526;11566
607;2941;11103
608;2920;11323
609;2623;11440
610;2509;11281
611;2825;11283
612;2473;11376
613;2886;11282
614;2783;11323
615;2386;11497
616;2881;10928
617;2576;10946
618;2480;11486
619;2892;11042
620;2900;11497
621;3087;11668
622;2621;11601
623;2554;11207
624;2960;11211
625;3038;11063
626;2766;11174
627;2485;11460
628;3052;11629
629;2603;10971
630;3006;11077
631;3013;11561
632;2844;11132
633;2781;11356
634;2874;11588
635;2991;11646
636;2541;11301
637;3032;11638
638;2702;10936
639;3065;11362
640;2523;11632
641;2678;11489
642;2931;11045
643;2650;11614
644;2971;11319
645;2360;11336
646;2762;11381
647;2798;11551
648;2572;11557
649;2611;11695
650;2424;10963
651;3042;11427
652;2344;11079
653;3019;11190
654;3049;11540
655;2522;11551
656;2595;11243
657;2764;11670
658;2734;11400
659;2618;10914
660;2639;10999
661;3037;10953
662;2869;10958
663;2791;11199
664;2871;11055
665;2901;11260
666;2814;11464
667;2662;11116
668;2866;11122
669;3005;11138
670;2675;11101
671;2890;11368
672;3062;11556
673;3092;11629
674;3000;11663
675;2321;11685
676;2434;11530
677;2686;11447
678;2749;11427
679;2964;11356
680;3008;11495
